"text","severity"
"Moderate sprain, ankle swollen and painful but can walk a little","MEDIUM"
"I think I'm having a heart attack, crushing chest pain spreading to my left arm","CRITICAL"
"Occasional ringing in my ears","LOW"
"Mild chest tightness on exertion","MEDIUM"
"Feeling a bit stressed about work","LOW"
"I broke my leg, I can hear it cracked","HIGH"
"Tonsillitis, sore throat and fever and difficulty swallowing","MEDIUM"
"Child has been coughing for 3 weeks","MEDIUM"
"Minor skin irritation from soap","LOW"
"New floaters and occasional flashes in my vision","MEDIUM"
"Suspected hairline fracture in my foot","MEDIUM"
"Blood sugar consistently high, possible uncontrolled diabetes","MEDIUM"
"Not breathing, respiratory arrest","CRITICAL"
"Acute psychosis, violent and disoriented","HIGH"
"Pleurisy, sharp stabbing pain every time I breathe","MEDIUM"
"My heart stopped, I can't feel a pulse","CRITICAL"
"Right lower abdominal pain with fever and nausea","HIGH"
"I'm going to kill myself tonight","CRITICAL"
"Bloating and gas after eating","LOW"
"Mild blocked nose","LOW"
"Productive cough with thick mucus for a week","MEDIUM"
"Can't move my arm after the accident","HIGH"
"Mild eye strain after working on computer all day","LOW"
"Conjunctivitis not improving after 48 hours","MEDIUM"
"Testicular torsion, sudden severe scrotal pain","HIGH"
"Acid burn on my arm at work","HIGH"
"Slight ankle twist, no swelling","LOW"
"Asthma symptoms getting worse this week","MEDIUM"
"Feeling warm but no thermometer reading","LOW"
"Chemical splash in the eye at work","HIGH"
"Opioid overdose, he's not responsive and breathing slowly","CRITICAL"
"He's choking and can't get air","CRITICAL"
"I need a prescription refill","LOW"
"Low grade fever under 38, feeling tired","LOW"
"Motion sickness on the bus","LOW"
"Pneumonia with high fever and difficulty breathing","HIGH"
"Sudden loss of vision in my left eye","HIGH"
"Tendinitis in my shoulder, very painful for a week","MEDIUM"
"Eclampsia seizure during pregnancy","CRITICAL"
"Hairline fracture in my foot","HIGH"
"Ear infection with significant pain and mild fever","MEDIUM"
"Food poisoning, vomiting all day but still conscious","MEDIUM"
"Head injury from a fall, lost consciousness briefly","HIGH"
"Ectopic pregnancy, severe one-sided pain at 7 weeks","HIGH"
"Facial numbness on one side — new symptom","MEDIUM"
"Abscess that needs draining","MEDIUM"
"Back pain with weakness in both legs, can't walk properly","HIGH"
"Dark tarry stools, melaena","HIGH"
"Severe vertigo when I move my head","MEDIUM"
"Mild temperature of 37.5","LOW"
"Mild dry cough, no fever","LOW"
"Septic shock, BP is crashing and very confused","CRITICAL"
"My daughter has tonsillitis and can't swallow","MEDIUM"
"Heart racing and I feel faint","HIGH"
"Peritonsillar abscess, can't swallow and throat very swollen","HIGH"
"Infected wound with spreading redness and warmth","MEDIUM"
"Dry eyes from air conditioning","LOW"
"Spontaneous pneumothorax, sudden chest pain and collapse","HIGH"
"Severe nosebleed won't stop after 30 minutes","HIGH"
"Corneal scratch from a branch","MEDIUM"
"Sinusitis with face pain and fever","MEDIUM"
"Mild diarrhoea this morning, no blood, feeling okay","LOW"
"Joint swelling in my knee with no injury, possibly gout","MEDIUM"
"Acute pancreatitis, severe upper abdominal pain going to back","HIGH"
"Animal bite that might need antibiotics","MEDIUM"
"Coughing up blood in large quantities","CRITICAL"
"Feeling tired today","LOW"
"Meningococcal rash, non-blanching purple spots with high fever","CRITICAL"
"Deep knife cut on my hand","HIGH"
"Open fracture on my forearm","HIGH"
"Swollen ankles that have been getting worse","MEDIUM"
"Sudden severe chest pressure with shortness of breath and sweating","CRITICAL"
"Diarrhoea and vomiting for 2 days","MEDIUM"
"Cord prolapse, baby's cord is outside","CRITICAL"
"Thunderclap headache, worst headache of my life, started suddenly","CRITICAL"
"Shortness of breath when walking upstairs, new symptom","MEDIUM"
"Persistent cough for 3 weeks now","MEDIUM"
"I've lost 6kg without trying in the last month","MEDIUM"
"Persistent ear pain in my child","MEDIUM"
"Febrile convulsion in my toddler","HIGH"
"Small pimple or spot","LOW"
"Spinal cord injury, numbness from chest down","HIGH"
"Minor headache after looking at a screen all day","LOW"
"Fever and rash together","MEDIUM"
"Thyroid symptoms, rapid unexplained weight loss","MEDIUM"
"I would like to schedule a follow-up","LOW"
"Ruptured tendon in my ankle","HIGH"
"I took an overdose of pills, I'm drowsy","CRITICAL"
"First time seizure in an adult","HIGH"
"Chemical burn on my skin from cleaning products","HIGH"
"Suicidal thoughts with a specific plan","HIGH"
"I've been dizzy for 24 hours","MEDIUM"
"Hip dislocation after a car accident","HIGH"
"Migraine that isn't responding to my usual tablets","MEDIUM"
"Impetigo spreading on my child's face","MEDIUM"
"Minor sprain, can still walk, mild swelling","LOW"
"Heartburn after spicy food","LOW"
"Traumatic amputation of the hand","CRITICAL"
"Mild bladder pressure, drinking more water","LOW"
"Mild congestion and sneezing","LOW"
"Upper right abdominal pain after fatty meal with fever","HIGH"
"Palpitations and dizziness","HIGH"
"Patient is unresponsive, can't be roused","CRITICAL"
"Severe allergic reaction, tongue and throat swelling","CRITICAL"
"Unable to walk after landing badly on my ankle","HIGH"
"I've had a persistent headache for 3 days","MEDIUM"
"Severe pre-eclampsia symptoms, headache and visual changes","HIGH"
"Scratchy throat in the morning","LOW"
"Alcohol poisoning, she drank a whole bottle and passed out","CRITICAL"
"Carpal tunnel, hand and wrist very numb at night","MEDIUM"
"I took pills to end my life","CRITICAL"
"Slight sinus congestion","LOW"
"Fever won't break after 48 hours","MEDIUM"
"He's unconscious and not waking up","CRITICAL"
"Sudden confusion in an elderly person","HIGH"
"Child is drowsy and can't be properly woken up","HIGH"
"Alcohol withdrawal with shaking and hallucinations","HIGH"
"High energy trauma, hit by a car at speed","CRITICAL"
"Sciatica, shooting pain from my lower back down my leg","MEDIUM"
"Mild anxiety before an exam","LOW"
"Slight loss of appetite","LOW"
"Infant fever over 38 degrees, baby is 2 months old","HIGH"
"Concussion, hit my head and was confused","HIGH"
"Compound fracture, bone is visible through the skin","HIGH"
"Minor insect bite, small red area and itch only","LOW"
"Child with stiff neck and fever","HIGH"
"Mild fatigue after being ill last week","LOW"
"I dislocated my shoulder in rugby","HIGH"
"Cardiac arrest, person is unresponsive","CRITICAL"
"Vomiting blood, haematemesis","HIGH"
"Light muscle cramp in my calf","LOW"
"Shingles, blistering rash on one side of my body","MEDIUM"
"Knocked out and woke up confused","HIGH"
"Stomach pain spreading across abdomen, no fever","MEDIUM"
"Jet lag after long flight","LOW"
"Gaping wound on my leg that needs stitches","HIGH"
"Mild indigestion after a heavy meal","LOW"
"Sudden vision loss in both eyes and I feel very confused","CRITICAL"
"Mild eczema on my elbow","LOW"
"Child fever 38.5 for more than 48 hours","MEDIUM"
"DVT suspected, calf is red, swollen and painful","HIGH"
"Severe head injury after car accident","HIGH"
"Stab wound to the abdomen","CRITICAL"
"Sudden paralysis on one side of my body","CRITICAL"
"My speech is slurred suddenly and one arm won't move","CRITICAL"
"Change in bowel habits for 3 weeks","MEDIUM"
"Small rash on my wrist, no fever, mild itch","LOW"
"Uncontrolled bleeding, blood won't stop","CRITICAL"
"Common cold, runny nose and mild sore throat","LOW"
"Crush injury to the chest after accident","CRITICAL"
"Heat stroke, no longer sweating, very confused and hot","CRITICAL"
"Severe chest pain that comes and goes with exertion","HIGH"
"Difficulty breathing at rest","HIGH"
"Appendix pain, can't move without severe pain","HIGH"
"I woke up and can't move my right side at all","CRITICAL"
"Heavy vaginal bleeding, placenta praevia","CRITICAL"
"I want to see a doctor for a routine visit","LOW"
