"text","severity"
"I have sudden, severe headache and am having difficulty walking without falling","CRITICAL"
"I have severe shortness of breath and my fingernails are grey","CRITICAL"
"I have chest pain that feels better when I sit up and lean forward","HIGH"
"I have difficulty hearing normal conversation","MEDIUM"
"Chest pressure with shortness of breath","HIGH"
"I have sudden, sharp pain and swelling in my foot (gout with infection signs)","HIGH"
"Feeling a little low after a difficult week","LOW"
"I have mild chest tightness related to anxiety","LOW"
"I have a fever with chills and severe, localized pain in my lower abdomen","HIGH"
"I have diarrhea that is watery and explosive for a day and a half","MEDIUM"
"I have a severe allergic reaction with swelling around my eyes and mouth","HIGH"
"I have a painful rash that started on my torso and is visibly spreading","MEDIUM"
"I have unexplained severe fatigue and a fast, weak pulse","HIGH"
"I have a severe cut that has severed an artery and is pulsing blood","CRITICAL"
"I have a mild sensation of hunger even after eating","LOW"
"My eyelid is twitching a little","LOW"
"Convulsions and not breathing properly","CRITICAL"
"I have sudden loss of peripheral vision (tunnel vision)","HIGH"
"I have a headache that is constant and worsened by lying down","HIGH"
"I have a persistent high fever ($39.8^\circ C$) that won't break","MEDIUM"
"I have a little redness in the corner of one eye","LOW"
"I have a high fever with neck stiffness and extreme sensitivity to touch","CRITICAL"
"I am gasping for air and my mouth and nails are grey-blue","CRITICAL"
"I have sudden, severe vomiting that is bilious (green or yellow)","HIGH"
"Febrile convulsion in my toddler","HIGH"
"My collarbone is broken after the accident","HIGH"
"I have severe pain and numbness in my arm and it is turning dark blue","CRITICAL"
"Persistent stomach pain that comes and goes","MEDIUM"
"I have a major head injury and am having recurrent, short seizures","CRITICAL"
"I have a fever and severe sore throat that is rapidly swelling shut","HIGH"
"Necrotising fasciitis, rapidly spreading infection with purple skin","HIGH"
"I am experiencing severe, non-stop vomiting of non-bloody fluid","HIGH"
"I have a severe burn over a large area of my chest and abdomen","CRITICAL"
"I have difficulty breathing and am making a grunting sound","CRITICAL"
"Abscess that needs draining","MEDIUM"
"He's choking and can't get air","CRITICAL"
"Mild fatigue after being ill last week","LOW"
"I feel faint every time I stand up quickly","MEDIUM"
"I have severe, sharp pain in my side that started after a minor trauma","HIGH"
"I have a deep burn with blisters that covers an area larger than my palm","MEDIUM"
"My daughter has tonsillitis and can't swallow","MEDIUM"
"I have difficulty breathing and am constantly coughing up thick, colored mucus","HIGH"
"Bowel obstruction, severe cramping and no bowel movement for 3 days","HIGH"
"I have crushing chest pain that is radiating to my back","CRITICAL"
"Ear blocked and painful for several days","MEDIUM"
"I have severe shortness of breath after walking just a few steps","HIGH"
"I have a persistent cough with extreme fatigue and night sweats","HIGH"
"I have unexplained severe fatigue and a very high heart rate","HIGH"
"I have severe swelling of my tongue that is blocking my airway","CRITICAL"
"I have severe dizziness and the world is spinning violently","HIGH"
"I have a noticeably painful lump in my neck that is getting bigger","MEDIUM"
"I have a deep cut that is bleeding slowly but clearly needs attention","MEDIUM"
"Mild temperature of 37.5","LOW"
"I have vomited dark, tarry blood multiple times","CRITICAL"
"I have severe bleeding from my vagina (not menstrual) that soaks through pads quickly","HIGH"
"I have pronounced chest discomfort that is sharp and centralized","MEDIUM"
"I have difficulty breathing and can hear a prominent crackling sound in my chest","HIGH"
"I have severe abdominal pain that feels like a gunshot wound","CRITICAL"
"I have diarrhea for more than a day and feel very dry and thirsty","MEDIUM"
"I have severe, excruciating chest pain that feels like crushing","CRITICAL"
"I have chest discomfort that gets worse when I lie down","MEDIUM"
"I have sudden, severe abdominal pain and am in shock (pale, fast pulse)","CRITICAL"
"I have sudden, sharp pain in my side with fever and confusion (septic kidney stone)","CRITICAL"
"I have sudden, severe weakness in my hand preventing me from grasping anything","HIGH"
"Sudden vision loss in both eyes and I feel very confused","CRITICAL"
"I am unresponsive and my body is severely jaundiced (yellow)","CRITICAL"
"I have sudden, total loss of muscle control and have collapsed","CRITICAL"
"I have pronounced pain that is causing me to limp","MEDIUM"
"I have severe pain in my back that is making me vomit","HIGH"
"I feel a slight need to clear my throat","LOW"
"Kidney stone, severe loin to groin pain","HIGH"
"I have sudden, complete numbness in my genital area and inner thighs","HIGH"
"I have a persistent, sharp pain in my lower left abdomen with fever","HIGH"
"I have sudden, complete inability to move both arms","CRITICAL"
"I have a mild case of hiccups","LOW"
"Small cut on my finger, bleeding stopped","LOW"
"Ingested poison, don't know what","CRITICAL"
"Feeling a bit run down","LOW"
"I have a major head injury and am having continuous vomiting","CRITICAL"
"Moderate sprain, ankle swollen and painful but can walk a little","MEDIUM"
"Heart racing and I feel faint","HIGH"
"I have a fever with extreme confusion and am now falling unconscious","CRITICAL"
"Brain bleed symptoms, sudden severe headache and confusion","CRITICAL"
"I am bleeding profusely from a wound where a chunk of flesh is missing","CRITICAL"
"I am gasping for air and my airway feels completely blocked","CRITICAL"
"I feel nauseous and vomited once, but still feel quite unwell","MEDIUM"
"I have a small hangnail","LOW"
"I have mild tightness in my chest due to stress","LOW"
"I have pain in my chest that feels like bubbling or pressure under my ribcage","HIGH"
"I have a large cut that keeps opening up and requires butterfly bandages","HIGH"
"I have a high fever and a rash that looks like tiny red spots","MEDIUM"
"I have a persistent, painful erection lasting more than 4 hours (priapism)","HIGH"
"I have severe, sharp chest pain that makes me gasp for breath","CRITICAL"
"Minor stomach discomfort after eating","LOW"
"Infant fever over 38 degrees, baby is 2 months old","HIGH"
"I have a high fever and vomiting that is projectile","HIGH"
"I have severe back pain that is making me incontinent","HIGH"
"I have severe chest pain that is making me short of breath and dizzy","CRITICAL"
"I have a persistent cough that is preventing me from sleeping or resting","HIGH"
"I am passing significantly less urine than normal (oliguria) despite drinking fluids","MEDIUM"
"My chest feels very tight and I have extreme difficulty speaking","CRITICAL"
"Minor skin irritation from soap","LOW"
"I have a high fever and a rash that looks like widespread bruising","CRITICAL"
"I am coughing up large amounts of dark blood and clots","CRITICAL"
"Fever over 40 and very confused","HIGH"
"I have a tiny splinter in my finger","LOW"
"I have sudden, severe abdominal pain that feels like a violent cramp","HIGH"
"I have a fever and confusion after recent travel to a malaria area","CRITICAL"
"I have chest pain that is sharp and limits movement of my upper body","HIGH"
"Sudden confusion in an elderly person","HIGH"
"I have difficulty breathing and I am panicking because I can't catch my breath","HIGH"
"I need to schedule a check-up","LOW"
"I have a laceration on my scalp that is bleeding moderately","MEDIUM"
"UTI with fever and back pain","MEDIUM"
"Coughing up blood repeatedly","HIGH"
"I have difficulty recognizing my surroundings or location (disorientation)","HIGH"
"My knee is dislocated, it looks completely out of place","HIGH"
"Stab wound to the abdomen","CRITICAL"
"I have a severe headache and feel completely detached from reality","CRITICAL"
"Severe muscle strain, can't straighten my back","MEDIUM"
"I have loss of consciousness for any period after a trauma","CRITICAL"
"I have a high fever (40 
∘
 C) with severe, continuous shaking chills","HIGH"
"My ankle is slightly sore from a mild twist","LOW"
"I have pain in my jaw or teeth that radiates to my chest","HIGH"
"I have pronounced, heavy bleeding between periods","MEDIUM"
"I am unresponsive and my pulse is very slow and irregular","CRITICAL"
"Preterm labour at 30 weeks","HIGH"
"I am gasping for air and my fingernails are turning grey","CRITICAL"
"My feet feel consistently numb and tingly","MEDIUM"
"I have chest pain that feels heavy and is associated with sweating","HIGH"
"I have lost consciousness and woke up confused with a head wound","CRITICAL"
"Minor headache after looking at a screen all day","LOW"
"I have sudden vision loss that is complete and permanent in one eye","CRITICAL"
"I have sudden loss of half of my vision (hemianopia)","HIGH"
"I have sudden loss of balance and am constantly falling to one side","CRITICAL"
"I have a deep cut that is constantly oozing a milky or foul-smelling liquid","HIGH"
"I have pitting edema (swelling that leaves an indentation) in my legs","MEDIUM"
"I have mild heartburn after dinner","LOW"
"I have minor bloating after eating bread","LOW"
"Severe allergic reaction, tongue and throat swelling","CRITICAL"
"Dry eyes from air conditioning","LOW"
"I have a small sore on the inside of my cheek","LOW"
"Panic attacks every day affecting my work","MEDIUM"
"I have difficulty speaking and my face is suddenly drooping on one side","CRITICAL"
"Right lower abdominal pain with fever and nausea","HIGH"
"Cardiac arrest, person is unresponsive","CRITICAL"
"I have a minor twitch in my leg muscle","LOW"
"I have a very mild case of gas","LOW"
"I have chest pain that is relieved by belching or antacids (but is severe)","HIGH"
"I am bleeding heavily from a wound and my pulse is weak and rapid","CRITICAL"
"I have a fever ($40.1^\circ C$) that has persisted for 3 days","MEDIUM"
"I feel slightly nauseous in the morning","LOW"
"I have a very small patch of eczema","LOW"
"I have a high fever and confusion after recent neurosurgery","CRITICAL"
"I feel a slight metallic taste in my mouth","LOW"
"I have difficulty swallowing liquids","MEDIUM"
"I have sudden, severe weakness and cannot lift my head off the pillow","CRITICAL"
"I have difficulty breathing and can't speak more than two syllables at a time","HIGH"
"My feet are slightly cold","LOW"
"Status epilepticus, seizure lasting more than 5 minutes","CRITICAL"
"I am bleeding profusely from a deep cut to my face","CRITICAL"
"Not sleeping for days, it's affecting my health","MEDIUM"
"Severe asthma, can barely speak","HIGH"
"I am coughing up blood and am also vomiting dark blood","CRITICAL"
"I have a foreign object embedded deeply in my chest wall","CRITICAL"
"Appendix pain, can't move without severe pain","HIGH"
"I have mild swelling of one lymph node in my neck","LOW"
"Sudden hearing loss in one ear this morning","MEDIUM"
"I have a high fever and severe headache after spending time in a cave","HIGH"
"I have profuse, heavy, uncontrolled nosebleeds","HIGH"
"My shoulder is mildly stiff from sleeping awkwardly","LOW"
"I have a mild itch on my arm","LOW"
"I have a deep wound to my chest that is making a sucking sound","CRITICAL"
"I have a headache with neck stiffness and feel sensitive to light and sounds","HIGH"
"I have a single insect bite on my leg","LOW"
"I have uncontrolled generalized seizures that are continuous (Status Epilepticus)","CRITICAL"
"I have mild discomfort when looking at bright screens","LOW"
"I have a suspected overdose and am hallucinating violently","CRITICAL"
"I have a minor rash on my wrist that doesn't itch much","LOW"
"I have a cut that is bleeding heavily but stops after 10 minutes of pressure","MEDIUM"
"I am unresponsive and my body is rigid","CRITICAL"
"Stiff neck with high fever and headache","HIGH"
"I have a high fever with extreme sensitivity to light and noise","CRITICAL"
"I have severe chest pain and feel dizzy and faint when standing","HIGH"
"Blood pressure 180 over 110, severe headache","HIGH"
"I have a painful rash that is blistering and accompanied by a severe headache","HIGH"
"Acute glaucoma, sudden eye pain with halos around lights","HIGH"
"Occasional ringing in my ears","LOW"
"I have dark-colored urine (cola-colored) that started recently","MEDIUM"
"My throat is swelling shut after eating peanuts","CRITICAL"
"I feel a slight pulling sensation in my side","LOW"
"Airways completely blocked, she's turning blue","CRITICAL"
"I have severe, intractable vomiting that is causing chest spasms","HIGH"
"Cord prolapse, baby's cord is outside","CRITICAL"
"I have severe abdominal pain that is getting worse by the second","CRITICAL"
"Compound fracture, bone is visible through the skin","HIGH"
"I have a deep cut that is wide open and I can see a bone moving inside","HIGH"
"I have a high fever and am confused and shouting at people who aren't there","CRITICAL"
"I have strong foot pain that feels like walking on glass","MEDIUM"
"I feel a mild tingle in my foot (foot 'falling asleep')","LOW"
"I have an eye injury with strong redness and light sensitivity","MEDIUM"
"I have severe chest pain that is not relieved by resting or changing position","CRITICAL"
"I have severe swelling and pain in my leg that is spreading above my knee","HIGH"
"I would like to schedule a follow-up","LOW"
"I fractured my wrist when I fell","HIGH"
"I am bleeding heavily, and the blood is spurting from the wound","CRITICAL"
"I have vision loss that comes and goes but is significant when present","HIGH"
"I have pain in my chest when I take a deep breath that limits my breathing","HIGH"
"I have severe dizziness and am seeing flashing lights","HIGH"
"Dry skin on my hands and arms","LOW"
"I have a tiny hair follicle infection (folliculitis)","LOW"
"I have mild discomfort in my throat when I talk a lot","LOW"
"I have difficulty swallowing pills and feel like I'm choking","HIGH"
"I have a mild headache today","LOW"
"I feel slightly drowsy after lunch","LOW"
"Severe eczema flare across my body","MEDIUM"
"I have taken a bottle of pills and am now severely drowsy","CRITICAL"
"I have severe chest tightness that is associated with uncontrollable coughing","HIGH"
"I am bleeding uncontrollably from my wrist after a self-inflicted wound","CRITICAL"
"I have loss of feeling in my fingers and toes that is rapidly progressing","CRITICAL"
"I am bleeding uncontrollably from a wound on my abdomen","CRITICAL"
"Recurring headaches for a week now","MEDIUM"
"He's unconscious and not waking up","CRITICAL"
"Severe pre-eclampsia symptoms, headache and visual changes","HIGH"
"I have diarrhea with a low-grade fever","MEDIUM"
"Broken arm after falling off a bicycle","HIGH"
"Opioid overdose, he's not responsive and breathing slowly","CRITICAL"
"Heat stroke, no longer sweating, very confused and hot","CRITICAL"
"Ruptured ectopic pregnancy, severe pain and shoulder tip pain","CRITICAL"
"Priapism, erection for 5 hours and very painful","HIGH"
"I think I'm having a massive heart attack","CRITICAL"
"I have a tiny splinter under my nail","LOW"
"I have severe chest pain that is constant and feels like a block","CRITICAL"
"I have sudden, severe, stabbing pain in my side that comes in waves","HIGH"
"My eyes are watering a lot while chopping onions","LOW"
"I have nausea and headache after a minor head bump","MEDIUM"
"I have difficulty swallowing and food feels stuck in my throat","HIGH"
"I have frequent, strong muscle spasms in my back","MEDIUM"
"I am unresponsive and my body is shaking violently (Status Epilepticus)","CRITICAL"
"I have severe pain in my joint and it has increased in size significantly overnight","HIGH"
"I have a sprain where the joint looks deformed but I can still move my fingers/toes","MEDIUM"
"I have vomiting that is forceful","MEDIUM"
"I have a large deep blister that has become infected (fever, redness)","HIGH"
"I have severe abdominal pain that is only on my right side and is tender to touch","HIGH"
"I have a rash that is spreading quickly and is associated with severe body aches","HIGH"
"I have pain in my chest that is worsened by pressing on my sternum","HIGH"
"I have a small bit of redness around an old piercing","LOW"
"I have uncontrolled bleeding from an injury that is pooling rapidly","CRITICAL"
"I have a small bruise on my shin","LOW"
"I have sudden weakness that prevents me from standing up from a chair","HIGH"
"I have uncontrolled bleeding from my mouth and nose","CRITICAL"
"I have loss of consciousness after a severe electrocution","CRITICAL"
"My hands are a little shaky from caffeine","LOW"
"I have a fever and severe pain that is localized to my gall bladder area","HIGH"
"I am unresponsive and have a large pooling of blood under my head","CRITICAL"
"Deep knife cut on my hand","HIGH"
"I am bleeding profusely from my mouth after a fall","CRITICAL"
"I have a high fever and severe headache that causes me to scream","CRITICAL"
"I've already hurt myself badly and there's a lot of blood","CRITICAL"
"I have sudden, complete vision loss and a severe, crushing headache","CRITICAL"
"I have a severe allergic reaction with very low blood pressure and collapse","CRITICAL"
"I have signs of a major stroke (sudden weakness, slurred speech, confusion)","CRITICAL"
"I have a mild, dry cough that comes and goes","LOW"
"I have unexplained sudden bleeding from my vagina in the first trimester of pregnancy","HIGH"
"I have severe swelling in my throat and chest that is restricting my breath","CRITICAL"
"I have noticeably slurred speech when I am very tired","MEDIUM"
"I have unstable balance and frequently bump into things","MEDIUM"
"I have severe pain and swelling in my throat that is completely blocking my swallowing","CRITICAL"
"I have severe abdominal pain and feel like I'm going to pass out every minute","CRITICAL"
"I have chest pain that is sudden and accompanied by a dry, hacking cough","HIGH"
"I have sudden, severe headache and my vision is double and distorted","CRITICAL"
"I have difficulty closing my mouth or severe pain when attempting to chew","HIGH"
"I have loss of consciousness after a lightning strike","CRITICAL"
"I have sudden, profound weakness and cannot stand up","CRITICAL"
"Minor insect bite, small red area and itch only","LOW"
"I am bleeding severely from a deep wound to my forearm with visible bone","CRITICAL"
"I have a small knot in my shoulder muscle","LOW"
"I have uncontrolled shaking and chills with fever, lasting hours","HIGH"
"I have no response to stimulus (coma)","CRITICAL"
"I have severe vomiting after hitting my head earlier today","HIGH"
"I have a major burn that has turned the skin leathery and stiff","CRITICAL"
"Blue lips from lack of oxygen","HIGH"
"I have severe, agonizing pain from a tooth abscess that is swelling my face","HIGH"
"I have a minor tension headache","LOW"
"I have difficulty speaking and am repeatedly saying the same few words (perseveration)","CRITICAL"
"I have bleeding from the rectum that is significant and continuous","HIGH"
"I have a frequent, painful urge to urinate that produces little volume","MEDIUM"
"I had a stroke, I can't lift my arm and my face is drooping","CRITICAL"
"I have a pounding headache that is making me vomit","MEDIUM"
"I have blood in my stool that is bright red (small amount)","MEDIUM"
"I am unresponsive and have vomited, posing an aspiration risk","CRITICAL"
"I am unresponsive and my breathing is erratic and shallow","CRITICAL"
"I have a foreign object stuck in my rectum or vagina","HIGH"
"I have severe, intractable vomiting (can't be stopped by medication)","HIGH"
"I have difficulty breathing and need to use my neck muscles to pull air in","HIGH"
"I have loss of sensation and movement in my hands that is increasing rapidly","CRITICAL"
"I have a fever of 41 
∘
 C and am hallucinating","CRITICAL"
"Jet lag after long flight","LOW"
"I am coughing up pink, frothy sputum and struggling to breathe","CRITICAL"
"I have difficulty speaking and my thought process is extremely slow","HIGH"
"I have severe pain in my side that is not affected by movement","HIGH"
"I have a minor heat rash on my inner arm","LOW"
"Mild constipation for one day","LOW"
"I have a small red spot that might be a tiny zit","LOW"
"I have pain and numbness that is rapidly moving from my fingers to my shoulder","HIGH"
"I have extreme difficulty waking up and am non-verbal","CRITICAL"
"I am bleeding profusely from a wound where a foreign object was pulled out","CRITICAL"
"I have a tiny red mark from a pen","LOW"
"I have sudden difficulty understanding speech (receptive aphasia)","HIGH"
"I am experiencing pronounced pain when urinating (dysuria)","MEDIUM"
"Sepsis, high fever and confused and fast breathing","HIGH"
"I have a suspected wrist fracture—it is deformed and severely painful","HIGH"
"I have severe chest pain that is constant and associated with clammy skin","CRITICAL"
"I feel a slight chill in a cold room","LOW"
"I have mild nausea when I smell certain foods","LOW"
"Feeling a bit stressed about work","LOW"
"I am unresponsive after a sudden collapse","CRITICAL"
"I feel a bit too warm in this room","LOW"
"I have vomited blood and now feel extremely cold and faint","CRITICAL"
"I have noticeable shortness of breath during exertion like brisk walking","MEDIUM"
"I have pain that feels like a tight band tightening around my head","MEDIUM"
"I have severe chest pain that feels like a heavy weight pressing down","CRITICAL"
"I have severe difficulty breathing after inhaling smoke or toxic fumes","CRITICAL"
"I have severe, agonizing abdominal pain and am vomiting bile","CRITICAL"
"I have sudden loss of feeling in my fingers and am unable to grasp items","HIGH"
"Massive postpartum haemorrhage after delivery","CRITICAL"
"I have severe pain in my eye with sudden, profound vision loss","CRITICAL"
"Coughing up blood in large quantities","CRITICAL"
"I have a skin infection that is spreading rapidly and has dark, necrotic areas","HIGH"
"Severe manic episode putting herself in danger","HIGH"
"I have severe pain and redness in my eye with sudden light sensitivity","HIGH"
"I have vomited repeatedly and am now coughing up blood","CRITICAL"
"I am experiencing sudden vision loss in one eye that hasn't cleared","HIGH"
"I think I'm having a stroke, my face is drooping and I can't speak","CRITICAL"
"Black stools and feeling faint","HIGH"
"I have sudden, excruciating pain in my side that doubles me over and won't ease","CRITICAL"
"I have continuous pain in a bone that is deep","MEDIUM"
"I have chest pain that is sudden and associated with extreme anxiety","HIGH"
"I have mild tightness in my calves","LOW"
"I have a persistent, heavy vaginal bleeding (not a period)","MEDIUM"
"I have uncontrolled bleeding from my groin area","CRITICAL"
"I have a small, red pimple on my chin","LOW"
"I have a seizure and bit my tongue severely","CRITICAL"
"I am unresponsive and my body is twitching violently","CRITICAL"
"I have severe pain and massive swelling in my hand after being exposed to cold","HIGH"
"I have difficulty focusing on objects near or far","MEDIUM"
"I am gasping for air and my throat feels swollen shut","CRITICAL"
"I have major head trauma with clear fluid draining from my ears or nose","CRITICAL"
"Back pain with weakness in both legs, can't walk properly","HIGH"
"I have loss of consciousness after being trapped in a fire","CRITICAL"
"I have a little indigestion after eating","LOW"
"I have a major head injury and am having difficulty controlling my movements","CRITICAL"
"I have sudden weakness in my right arm and cannot speak at all","CRITICAL"
"Fever won't break after 48 hours","MEDIUM"
"I have sudden and painful swelling of one eyelid that is closing my eye","HIGH"
"I have sudden paralysis that is moving rapidly from my feet up to my chest","CRITICAL"
"I have severe chest pain that is accompanied by fainting spells","CRITICAL"
"New facial drooping on the right side","HIGH"
"I have a fall injury where I have great difficulty bearing weight on my hip","MEDIUM"
"I have pronounced lightheadedness that makes me fear falling","MEDIUM"
"I have taken a large overdose of sedatives and am barely breathing","CRITICAL"
"I have a severe burn that is white, dry, and covers my hand and wrist","CRITICAL"
"I have taken too many pills and am vomiting and becoming unresponsive","CRITICAL"
"My vision is intermittently blurry and causing eye strain","MEDIUM"
"I have sudden, severe pain in my side and my urine is red","CRITICAL"
"Rabies exposure from an animal bite","HIGH"
"I have a very minor burn from touching a warm pot","LOW"
"I have a severe burn that has caused difficulty breathing","CRITICAL"
"Small rash on my wrist, no fever, mild itch","LOW"
"I've lost 6kg without trying in the last month","MEDIUM"
"I have sudden, severe swelling of my lips and tongue making it hard to talk","HIGH"
"I have blood in my cough (streaks of red, not much volume)","MEDIUM"
"I have vomiting and diarrhea leading to muscle cramps and extreme weakness","HIGH"
"I have severe chest pain that is stabbing and comes with fever and chills","CRITICAL"
"Nausea and vomiting for 24 hours straight","MEDIUM"
"I have strong generalized pain that is not relieved by over-the-counter meds","MEDIUM"
"I have pronounced painful swelling and redness around my eye","MEDIUM"
"I have sudden, complete inability to hear anything and am severely dizzy","CRITICAL"
"I have a minor bruise on my hip","LOW"
"Mild bladder pressure, drinking more water","LOW"
"I have a cough with thick, greenish-yellow mucus","MEDIUM"
"Severe chest pain, my left arm is numb and I'm sweating","CRITICAL"
"I have severe pain and my finger is grey and numb after a trauma","HIGH"
"I have severe chest pain that is worse when I swallow","CRITICAL"
"Slight tension headache at the back of my head","LOW"
"I have chest pain that is relieved when I burp or pass gas","HIGH"
"Mild blocked nose","LOW"
"I have moderate head trauma and am now experiencing memory loss","HIGH"
"I have a suspected concussion with persistent vomiting and confusion","HIGH"
"Malaria with very high fever after travel to endemic area","HIGH"
"I have a severe headache that feels like pressure building up inside my skull","HIGH"
"I have strong muscle cramps in my legs at night","MEDIUM"
"I have severe pain in my abdomen and shoulder tip (possible internal bleeding)","HIGH"
"I have mild pain when I swallow something large","LOW"
"I have a minor case of dry cough when I wake up","LOW"
"I have a new, large lump or bulge that is suddenly very painful and red (incarcerated hernia)","HIGH"
"I have sudden, severe dizziness and uncontrollable nausea","HIGH"
"Arterial bleed, blood spurting with each heartbeat","CRITICAL"
"I have severe difficulty waking up after a night of heavy drinking","HIGH"
"I have severe difficulty breathing and am visibly tiring out","CRITICAL"
"I have a penetrating wound to my head and I am unconscious","CRITICAL"
"I have fever and shaking chills with pronounced abdominal pain","MEDIUM"
"I have a fever of $39.2^\circ C$ with a very congested head","MEDIUM"
"I have severe pain and swelling in my scrotum or testicle","HIGH"
"I have unexplained bleeding from the rectum that is heavy and ongoing","HIGH"
"I have pronounced throat pain that makes it difficult to drink water","MEDIUM"
"I feel a slight pressure behind my nose","LOW"
"I have a fever and severe pain in my ear with fluid draining and confusion","HIGH"
"I have inability to move a major joint (e.g., knee, shoulder) after an injury","HIGH"
"I have a painful rash that looks like targets (Lyme Disease concern)","HIGH"
"My vision is significantly blurred in my right eye only","MEDIUM"
"I am choking on a piece of food and cannot make any sound","CRITICAL"
"I have mild stiffness in my fingers in the morning","LOW"
"Septic shock, BP is crashing and very confused","CRITICAL"
"I feel like my heart is fluttering uncontrollably and I'm about to collapse","CRITICAL"
"I am coughing up blood (streaks of bright red in my sputum)","HIGH"
"Fever of 38.5 for two days without improvement","MEDIUM"
"I am gasping for air and am sweating profusely with a cold, pale face","CRITICAL"
"I have a very small blister on my finger","LOW"
"I have a suspected snake bite and the limb is rapidly swelling","HIGH"
"I have a small white spot on my tongue (canker sore)","LOW"
"I have severe pain in my leg that is rapidly spreading and is red and hot","HIGH"
"I have a pronounced feeling of pressure in my head","MEDIUM"
"I have sudden, profound dizziness and cannot stay upright even when sitting","CRITICAL"
"I have a sore throat that makes speaking quite painful","MEDIUM"
"I have a mild tingling sensation on my scalp","LOW"
"I have a fever with chills and severe, localized abdominal pain","HIGH"
"Can't move my arm after the accident","HIGH"
"I have unexplained sudden bleeding from my ears","HIGH"
"My fever is climbing and reaching $39.6^\circ C$","MEDIUM"
"Painful vaginal discharge with fever","MEDIUM"
"I have evidence of gastrointestinal bleeding causing dark, tarry stools (melena)","MEDIUM"
"I have a suspected spinal injury and have tingling in all my fingers and toes","HIGH"
"I have sudden, unexplained pain and severe redness in my eye (possible acute glaucoma)","HIGH"
"I have been vomiting repeatedly for over 24 hours and feel severely dehydrated","HIGH"
"Drug overdose, he took everything in the cabinet","CRITICAL"
"I have pronounced pain in a finger or toe that is discolored and swollen","MEDIUM"
"I have a head injury and am becoming increasingly confused and irritable","CRITICAL"
"I have mild discomfort from sitting too long","LOW"
"I am experiencing sudden, strong back pain after lifting something heavy","MEDIUM"
"New floaters and occasional flashes in my vision","MEDIUM"
"I have severe bleeding that has soaked through three towels","CRITICAL"
"I have sudden onset of difficulty seeing out of the corner of one eye","HIGH"
"I have sudden inability to use my legs due to back injury","CRITICAL"
"I have a minor scrape on my elbow","LOW"
"I have severe abdominal pain and blood is coming out of my rectum","CRITICAL"
"I have a very small, faint cold sore","LOW"
"I have severe difficulty breathing and am turning grey","CRITICAL"
"Persistent cough for 3 weeks now","MEDIUM"
"I have a small bump on my head from a low cupboard","LOW"
"I have loss of sensation and movement in my entire body below my neck","CRITICAL"
"I feel lightheaded sometimes, especially when standing for a while","MEDIUM"
"I have severe pain in my arm and it feels tight and swollen (compartment syndrome concern)","HIGH"
"I have complete loss of sensation below my waist","CRITICAL"
"I have a major head injury and am bleeding from my ear and nose","CRITICAL"
"My upper arm is slightly sore from an injection","LOW"
"I have severe, stabbing chest pain that is worsened by breathing or coughing","CRITICAL"
"I have taken a large dose of insulin and am now severely shaking and confused","CRITICAL"
"I have sudden, severe pain in my foot that feels like an electric shock","HIGH"
"I have a major burn that has caused severe blistering and deep pain","CRITICAL"
"I have a high fever and severe, debilitating body aches","HIGH"
"I have severe generalized itching and hives with mild throat constriction","HIGH"
"I have severe abdominal cramping and am passing a lot of gas with no relief","HIGH"
"I have a very minor nosebleed that stopped quickly","LOW"
"Sinusitis with face pain and fever","MEDIUM"
"I have body aches that feel like being bruised all over","MEDIUM"
